CityID,Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
2315026,Kasongo-Lunda,36,CD,1538240728,94,-6.48,16.82,72.46,1.95
1067565,Beloha,0,MG,1538240728,70,-25.17,45.06,73.54,12.91
1526038,Atbasar,0,KZ,1538240728,58,51.81,68.36,46.99,9.66
3840092,Puerto Madryn,0,AR,1538240729,68,-42.77,-65.04,60.4,6.42
2185329,Waipawa,8,NZ,1538240729,84,-39.94,176.59,39.43,6.64
227592,Katete,12,UG,1538240514,90,-0.78,29.75,63.82,0.94
2017155,Saskylakh,80,RU,1538240729,99,71.97,114.09,32.5,9.66
3449350,Sao Bento do Sul,92,BR,1538240462,91,-26.25,-49.38,69.94,4.41
1494941,Pirovskoye,0,RU,1538240742,70,57.63,92.27,47.08,7.43
2460954,Araouane,76,ML,1538240742,25,18.9,-3.53,93.88,2.95
2318123,Yenagoa,76,NG,1538240742,90,4.92,6.26,77.41,6.42
697183,Pyryatyn,76,UA,1538240742,96,50.24,32.51,48.25,13.02
2091996,Madang,64,PG,1538240743,99,-5.21,145.81,74.71,2.17
1489401,Toora-Khem,64,RU,1538240743,87,52.47,96.11,35.38,2.17
2147756,Swan Hill,0,AU,1538240588,90,-35.34,143.56,41.23,4.18
4407665,Kodiak,90,US,1538236380,82,39.95,-94.76,51.08,11.41
934322,Mahebourg,40,MU,1538236800,78,-20.41,57.7,73.4,11.41
779554,Honningsvag,56,NO,1538240743,100,70.98,25.97,37.99,21.18
3532499,Tecoanapa,75,MX,1538235900,70,16.99,-99.26,84.2,3.36
3190586,Paka,75,HR,1538238600,58,45.29,18.06,57.2,9.17
1490256,Talnakh,36,RU,1538240744,85,69.49,88.39,43.3,21.63
2206357,Opunake,8,NZ,1538240744,98,-39.45,173.86,50.86,11.79
2095925,Ialibu,0,PG,1538240745,96,-6.28,143.99,42.22,1.28
2033630,Xiongyue,12,CN,1538240745,96,40.18,122.12,44.02,1.95
3932145,Pisco,0,PE,1538236800,30,-13.71,-76.2,71.6,10.29
3870243,Taltal,0,CL,1538240745,71,-25.41,-70.49,70.12,3.18
5960603,Geraldton,90,CA,1538236800,64,49.72,-86.95,32,9.17
2618795,Klaksvik,92,FO,1538239800,87,62.23,-6.59,46.4,24.16
423328,Bururi,8,BI,1538240746,99,-3.95,29.62,75.52,2.62
315795,Elbistan,12,TR,1538240746,77,38.2,37.19,52.84,2.17
2155562,Nelson Bay,90,AU,1538238600,76,-32.72,152.14,51.8,6.93
1795632,Shenjiamen,36,CN,1538240747,90,29.96,122.3,74.89,31.14
4069458,Wagar,24,US,1538240747,71,31.44,-87.99,84.16,3.51
3839307,Rawson,0,AR,1538240747,41,-43.3,-65.11,65.08,13.47
2737599,Saldanha,0,PT,1538240747,47,41.42,-6.55,73.9,2.39
3723440,Kenscoff,36,HT,1538240747,86,18.45,-72.29,79.3,2.62
118063,Sabzevar,0,IR,1538236800,22,36.21,57.68,68,9.17
5859699,College,1,US,1538236680,17,64.86,-147.8,33.08,10.29
3888214,Mundo Nuevo,75,CL,1538240400,67,-32.72,-71.41,61.45,8.05
2018888,Novopokrovka,32,RU,1538240748,94,45.85,134.51,50.41,3.74
146639,Lasa,20,CY,1538238600,74,34.92,32.53,80.6,3.36
1835848,Seoul,0,KR,1538236800,77,37.57,126.98,61.77,2.24
3456763,Moreira Sales,68,BR,1538240749,58,-24.05,-53.01,85.33,11.12
915471,Kalabo,32,ZM,1538240749,14,-15,22.67,88.57,12.91
1254046,Tura,20,IN,1538240749,98,25.52,90.21,74.08,2.62
2094342,Kavieng,12,PG,1538240750,100,-2.57,150.8,83.44,6.53
2063036,Port Lincoln,8,AU,1538240750,100,-34.72,135.86,50.86,13.13
2156643,Mount Gambier,20,AU,1538240750,88,-37.83,140.78,43.93,2.51
2192093,Coromandel,0,NZ,1538238600,93,-36.76,175.5,44.6,4.7
3402429,Caucaia,0,BR,1538240400,62,-3.73,-38.66,86,16.11
1062663,Mahajanga,0,MG,1538236800,69,-15.72,46.32,78.8,9.17
2745088,Wageningen,40,NL,1538240100,66,51.98,5.66,55.44,1.12
2030065,Mandalgovi,0,MN,1538240754,92,45.76,106.27,30.79,12.01
1278969,Along,68,IN,1538240754,92,28.17,94.8,67.06,1.61
2508813,Adrar,0,DZ,1538236800,22,27.87,-0.29,91.4,4.7
3674735,Miraflores,64,CO,1538240754,58,5.2,-73.14,66.25,2.51
1013266,Clocolan,0,ZA,1538240755,45,-28.91,27.57,52.75,4.18
1106643,Quatre Cocos,40,MU,1538236800,78,-20.21,57.76,73.4,11.41
1805733,Jinchang,80,CN,1538240755,37,38.52,102.19,44.02,6.31
5403191,Tracy,1,US,1538236560,69,37.74,-121.43,62.47,4.63
2191562,Dunedin,92,NZ,1538240515,100,-45.87,170.5,43.84,3.51
5129852,Oneonta,0,US,1538240631,70,42.45,-75.06,59.95,4.41
2035707,Mujiayingzi,0,CN,1538240756,64,42.12,118.78,34.3,6.2
2013279,Vostok,64,RU,1538240756,95,46.45,135.83,41.05,1.95
1504382,Kargasok,92,RU,1538240756,68,59.06,80.87,49.24,11.68
3369174,Calvinia,0,ZA,1538240756,18,-31.47,19.78,55.27,4.74
3837056,San Luis,0,AR,1538240757,77,-33.3,-66.34,66.97,15.93
5864145,Homer,90,US,1538238960,92,59.64,-151.54,50,5.75
1214488,Meulaboh,80,ID,1538240757,100,4.14,96.13,77.59,4.41
4031574,Provideniya,92,RU,1538240758,86,64.42,-173.23,48.88,25.21
3435910,Buenos Aires,90,AR,1538236800,99,-34.61,-58.44,64.4,17.22
4013704,Laguna,75,MX,1538235720,78,27.52,-110.01,82.4,6.93
3429594,Reconquista,0,AR,1538240763,52,-29.14,-59.64,93.43,19.39
373141,Kaduqli,8,SD,1538240763,73,11.01,29.72,78.58,4.74
2455290,Kidal,80,ML,1538240763,27,18.44,1.41,91.81,5.53
1714733,Dingle,80,PH,1538240764,99,11,122.67,74.89,3.96
2121025,Srednekolymsk,88,RU,1538240826,92,67.46,153.71,34.93,7.99
962367,Richards Bay,80,ZA,1538240767,92,-28.77,32.06,64.27,7.99
3894426,Coihaique,90,CL,1538236800,61,-45.58,-72.07,38.93,8.05
4868907,Newton,90,US,1538238900,81,41.7,-93.05,49.42,8.05
5380437,Pacific Grove,40,US,1538238900,67,36.62,-121.92,60.17,5.82
1687186,Sarangani,0,PH,1538240768,99,5.4,125.46,82.45,3.51
364933,Umm Kaddadah,0,SD,1538240769,26,13.6,26.69,86.77,8.66
2270385,Camacha,40,PT,1538238600,60,33.08,-16.33,75.2,10.29
4732862,Nome,40,US,1538240100,91,30.04,-94.42,74.07,5.82
3996234,Lazaro Cardenas,5,MX,1538235660,56,28.39,-105.62,71.6,4.7
2654970,Brae,92,GB,1538239800,61,60.4,-1.35,51.01,25.28
5905393,Bonavista,88,CA,1538240770,82,48.65,-53.11,60.13,18.16
292223,Dubai,0,AE,1538236800,55,25.27,55.3,90.46,6.93
3421982,Maniitsoq,92,GL,1538240600,99,65.42,-52.9,36.73,16.15
3616594,San Rafael del Sur,40,NI,1538236800,70,11.85,-86.44,84.2,16.11
1852357,Shimoda,100,JP,1538240770,100,34.7,138.93,70.57,15.82
3037456,Saint-Joseph,0,FR,1538238600,39,43.56,6.97,77.58,3.36
556268,Ostrovnoy,12,RU,1538240770,88,68.05,39.51,28.18,9.22
1849876,Tateyama,92,JP,1538240770,100,36.66,137.31,55.18,1.95
74185,Jiblah,36,YE,1538240771,73,13.92,44.15,60.49,1.83
1855612,Nara,90,JP,1538238600,83,34.68,135.8,69.8,11.41
245338,Am Timan,0,TD,1538240771,56,11.04,20.28,83.53,4.97
2144528,Warrnambool,68,AU,1538240771,95,-38.38,142.48,52.3,8.1
5975004,High Level,75,CA,1538236800,54,58.52,-117.13,32,12.75
1489853,Tazovskiy,88,RU,1538240772,96,67.47,78.7,43.3,13.58
4696310,Harper,90,US,1538240100,82,30.3,-99.24,75.54,3.36
1894019,Jiazi,75,CN,1538236800,100,19.61,110.49,73.4,4.47
104515,Mecca,0,SA,1538240660,43,21.43,39.83,82.72,0.6
608270,Shubarshi,36,KZ,1538240772,81,48.59,57.19,51.85,6.42
371745,Kutum,92,SD,1538240773,19,14.2,24.66,86.5,7.99
3026644,Souillac,0,FR,1538238600,37,45.6,-0.6,71.6,12.75
3947322,La Libertad,0,PE,1538236800,12,-16.38,-71.56,69.8,10.29
3184264,Rreshen,0,AL,1538239800,27,41.77,19.88,75.2,3.36
146639,Emba,20,CY,1538240400,74,34.81,32.42,80.6,5.82
3347353,Menongue,92,AO,1538240774,24,-14.66,17.68,82.81,4.97
2032201,Bulgan,0,MN,1538240774,69,48.81,103.53,23.68,2.62
2074113,Collie,0,AU,1538240774,82,-33.36,116.15,51.49,13.69
3441894,Maldonado,90,UY,1538236800,93,-34.91,-54.96,60.8,10.29
1733782,Victoria,75,BN,1538238600,88,5.28,115.24,79.72,5.64
3571913,Marsh Harbour,56,BS,1538240775,99,26.54,-77.06,83.71,16.93
1650233,Banjar,56,ID,1538240775,95,-7.37,108.54,65.98,2.62
57000,Hobyo,92,SO,1538240776,90,5.35,48.53,77.68,10.11
496285,Severodvinsk,40,RU,1538238600,100,64.56,39.82,37.4,2.24
2267254,Lagoa,20,PT,1538238600,65,37.14,-8.45,77,5.82
2980080,Saint-Francois,0,FR,1538238600,45,46.42,3.91,68,4.7
501847,Rochegda,32,RU,1538240777,82,62.67,43.41,37.27,6.76
5554428,Ketchikan,1,US,1538236560,71,55.34,-131.65,55.27,9.17
2311127,Tshela,100,CD,1538240777,69,-4.99,12.94,80.38,5.41
2180815,Tuatapere,44,NZ,1538240778,100,-46.13,167.69,44.83,6.98
2022317,Khor,12,RU,1538240778,88,47.88,134.96,42.49,2.62
